معرف الفرع*,معرف العقد*,معرف الشركة*,نوع الزيارة*,حالة الزيارة*,تاريخ الجدولة*,وقت الجدولة,تاريخ التنفيذ,وقت التنفيذ,المدة المتوقعة,خدمة التكييف,خدمة الكهرباء,خدمة السباكة,خدمة النجارة,خدمة الدهان,خدمة التنظيف,خدمة الحدادة,خدمة السيراميك,خدمة الزجاج,خدمة الألمنيوم,خدمة الأرضيات,خدمة الأسقف,خدمة الجدران,حالة الزيارة,ملاحظات,مصدر البيانات
0001-JED-001-0001,0001-001,0001,regular,completed,24-02-2025,09:00,24-02-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,01-01-2025,09:00,01-01-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,13-09-2024,09:00,13-09-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,02-06-2024,09:00,02-06-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,03-03-2024,09:00,03-03-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,28-04-2025,09:00,28-04-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,03-06-2025,09:00,03-06-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,09-02-2025,09:00,09-02-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,26-03-2025,09:00,26-03-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,26-06-2025,09:00,26-06-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,16-01-2025,09:00,16-01-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,03-03-2024,09:00,03-03-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,19-05-2025,09:00,19-05-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,12-03-2025,09:00,12-03-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,10-04-2025,09:00,10-04-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,24-02-2025,09:00,24-02-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,01-06-2024,09:00,01-06-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,24-02-2025,09:00,24-02-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,01-06-2024,09:00,01-06-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,01-04-2025,09:00,01-04-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,16-02-2025,09:00,16-02-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,14-01-2025,09:00,14-01-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,21-01-2025,09:00,21-01-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,01-09-2024,09:00,01-09-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,01-01-2025,09:00,01-01-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,04-01-2024,09:00,04-01-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,12-02-2024,09:00,12-02-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,22-05-2024,09:00,22-05-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,08-09-2024,09:00,08-09-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,27-05-2024,09:00,27-05-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,01-04-2024,09:00,01-04-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,20-01-2024,09:00,20-01-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,20-02-2024,09:00,20-02-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,12-01-2025,09:00,12-01-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,08-01-2025,09:00,08-01-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,12-01-2025,09:00,12-01-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,19-05-2025,09:00,19-05-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,06-07-2025,09:00,06-07-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,13-01-2025,09:00,13-01-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,01-09-2024,09:00,01-09-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,15-09-2024,09:00,15-09-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,15-09-2024,09:00,15-09-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,09-09-2024,09:00,09-09-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,09-01-2025,09:00,09-01-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,17-03-2025,09:00,17-03-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,03-06-2025,09:00,03-06-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,22-05-2025,09:00,22-05-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,09-02-2025,09:00,09-02-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,16-04-2025,09:00,16-04-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,12-02-2024,09:00,12-02-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,01-08-2024,09:00,01-08-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,31-03-2024,09:00,31-03-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,03-03-2024,09:00,03-03-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,01-11-2024,09:00,01-11-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,18-06-2025,09:00,18-06-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,20-02-2025,09:00,20-02-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,13-02-2024,09:00,13-02-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,01-08-2024,09:00,01-08-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,01-06-2024,09:00,01-06-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,27-11-2024,09:00,27-11-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,10-02-2025,09:00,10-02-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,01-08-2024,09:00,01-08-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,18-05-2024,09:00,18-05-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,06-08-2024,09:00,06-08-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,01-08-2024,09:00,01-08-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,19-05-2024,09:00,19-05-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,20-02-2025,09:00,20-02-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,20-03-2025,09:00,20-03-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,25-06-2025,09:00,25-06-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,20-02-2025,09:00,20-02-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,05-08-2024,09:00,05-08-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,12-02-2024,09:00,12-02-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,19-04-2025,09:00,19-04-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,26-02-2024,09:00,26-02-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,28-12-2024,09:00,28-12-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,18-05-2025,09:00,18-05-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,07-08-2024,09:00,07-08-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,07-10-2024,09:00,07-10-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,01-08-2024,09:00,01-08-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,01-06-2024,09:00,01-06-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,01-06-2024,09:00,01-06-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,01-04-2024,09:00,01-04-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,25-02-2025,09:00,25-02-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,03-04-2025,09:00,03-04-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,29-06-2025,09:00,29-06-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,18-05-2025,09:00,18-05-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,29-06-2025,09:00,29-06-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,01-10-2024,09:00,01-10-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,01-06-2024,09:00,01-06-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,12-02-2024,09:00,12-02-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,03-03-2024,09:00,03-03-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,09-09-2023,09:00,09-09-2023,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,01-10-2023,09:00,01-10-2023,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,09-10-2023,09:00,09-10-2023,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,12-02-2024,09:00,12-02-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,04-01-2024,09:00,04-01-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,11-06-2024,09:00,11-06-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,19-10-2024,09:00,19-10-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,01-09-2024,09:00,01-09-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,01-04-2024,09:00,01-04-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,11-11-2024,09:00,11-11-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,01-08-2024,09:00,01-08-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,30-06-2025,09:00,30-06-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,03-03-2024,09:00,03-03-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,01-08-2024,09:00,01-08-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,01-05-2024,09:00,01-05-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,17-02-2025,09:00,17-02-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,11-12-2024,09:00,11-12-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,11-09-2024,09:00,11-09-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,05-02-2025,09:00,05-02-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,27-02-2025,09:00,27-02-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,27-03-2025,09:00,27-03-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,27-04-2025,09:00,27-04-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,26-01-2025,09:00,26-01-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,02-09-2024,09:00,02-09-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,18-05-2025,09:00,18-05-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,14-02-2025,09:00,14-02-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,01-11-2024,09:00,01-11-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,01-08-2024,09:00,01-08-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,21-08-2024,09:00,21-08-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,19-05-2025,09:00,19-05-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,01-09-2024,09:00,01-09-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,10-04-2025,09:00,10-04-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,01-06-2024,09:00,01-06-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,01-09-2024,09:00,01-09-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,03-03-2024,09:00,03-03-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,25-07-2024,09:00,25-07-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,24-02-2025,09:00,24-02-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,24-02-2024,09:00,24-02-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,03-03-2024,09:00,03-03-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,01-11-2024,09:00,01-11-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,01-04-2024,09:00,01-04-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0001-JED-001-0001,0001-001,0001,regular,completed,24-Sep,09:00,24-Sep,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0033-001,0033,regular,completed,22-01-2024,09:00,22-01-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0033-001,0033,regular,completed,22-07-2024,09:00,22-07-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0033-001,0033,regular,completed,22-07-2024,09:00,22-07-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0033-001,0033,regular,completed,23-06-2025,09:00,23-06-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-002-0002,0033-002,0033,regular,completed,22-01-2024,09:00,22-01-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-002-0002,0033-002,0033,regular,completed,22-07-2024,09:00,22-07-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-002-0002,0033-002,0033,regular,completed,01-02-2025,09:00,01-02-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0001-001,0033,regular,completed,22-01-2024,09:00,22-01-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0001-001,0033,regular,completed,01-07-2024,09:00,01-07-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0001-001,0033,regular,completed,25-06-2025,09:00,25-06-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0001-001,0033,regular,completed,22-01-2024,09:00,22-01-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0001-001,0033,regular,completed,01-07-2024,09:00,01-07-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0001-001,0033,regular,completed,25-06-2025,09:00,25-06-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0001-001,0033,regular,completed,30-12-2024,09:00,30-12-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0001-001,0033,regular,completed,22-01-2024,09:00,22-01-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0001-001,0033,regular,completed,01-07-2024,09:00,01-07-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0001-001,0033,regular,completed,06-07-2025,09:00,06-07-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0001-001,0033,regular,completed,22-01-2024,09:00,22-01-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0001-001,0033,regular,completed,13-07-2024,09:00,13-07-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0001-001,0033,regular,completed,01-02-2025,09:00,01-02-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0001-001,0033,regular,completed,25-06-2025,09:00,25-06-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0001-001,0033,regular,completed,07-06-2025,09:00,07-06-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-007-0007,0033-007,0033,regular,completed,22-01-2024,09:00,22-01-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-007-0007,0033-007,0033,regular,completed,22-07-2024,09:00,22-07-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-007-0007,0033-007,0033,regular,completed,28-12-2024,09:00,28-12-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-007-0007,0033-007,0033,regular,completed,23-06-2025,09:00,23-06-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0001-001,0033,regular,completed,21-01-2025,09:00,21-01-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0001-001,0033,regular,completed,22-01-2024,09:00,22-01-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0001-001,0033,regular,completed,01-08-2024,09:00,01-08-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0001-001,0033,regular,completed,08-07-2024,09:00,08-07-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0001-001,0033,regular,completed,01-12-2024,09:00,01-12-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0001-001,0033,regular,completed,01-05-2024,09:00,01-05-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0001-001,0033,regular,completed,22-01-2024,09:00,22-01-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
